;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées
7518;202 158 003 003;75005;3 RUE DE CLUNY;A;TERRASSE OUVERTE;1.5;12.6;SARL MATIS  (RESTAURANT);48.850563, 2.344829
7520;202 736 006 003;75005;6 RUE DESCARTES;A;TERRASSE OUVERTE;3.8;2.0;SARL BISMARCK  (RESTAURANT);48.847185, 2.34847
7521;203 085 019 003;75005;19 RUE DU SOMMERARD;A;TERRASSE OUVERTE;0.6;4.0;SARL PHIMARCATH  (RESTAURANT);48.850028, 2.345859
7524;203 129 027 003;75005;Pan coupé 27 RUE DES ECOLES / 25 RUE DES ECOLES;B;TERRASSE OUVERTE;1.35;4.3;MME ESPOSITO  (RESTAURANT);48.848585, 2.348211
7530;203 860 010 002;75005;10 RUE FREDERIC SAUTON;A;TERRASSE OUVERTE;1.1;4.0;SARL AL JANOUB LIBAN  (RESTAURANT);48.850941, 2.349018
7531;203 860 010 002;75005;10 RUE FREDERIC SAUTON;A;TERRASSE OUVERTE;1.9;4.0;SARL AL JANOUB LIBAN  (RESTAURANT);48.850941, 2.349018
7532;203 926 044 002;75005;44 RUE GALANDE;A;TERRASSE OUVERTE;0.6;2.2;SARL FAMA  (RESTAURANT);48.851674, 2.347011
7533;203 926 077 003;75005;77 RUE GALANDE;A;TERRASSE OUVERTE;0.7;2.4;SARL SOCAL  (RESTAURATION RAPIDE - SNACK);48.852055, 2.346497
7535;205 189 009 002;75005;9 RUE LAGRANGE;A;TERRASSE FERMEE;1.18;9.75;SARL NFM  (RESTAURANT);48.851507, 2.347984
7536;205 189 015 003;75005;15 RUE LAGRANGE;A;COMMERCE ACCESSOIRE;0.79;1.24;SARL LA CRIEE  (RESTAURANT);48.850999, 2.348381
7538;205 251 011 002;75005;11 RUE DE LANNEAU;A;TERRASSE OUVERTE;0.6;10.6;SARL LA CHARTIERE  (RESTAURANT);48.848342, 2.346614
7540;206 374 002 003;75005;2 RUE DE LA MONTAGNE SAINTE GENEVIEVE;A;TERRASSE OUVERTE;1.08;4.2;SARL BASILICO  (RESTAURATION RAPIDE - SNACK);48.849585, 2.348808
7546;208 650 003 002;75005;3 PLACE DE LA SORBONNE;A;TERRASSE FERMEE;3.5;5.0;SARL LE NOUVEL ECRITOIRE  (RESTAURANT);48.848452, 2.342372
7549;208 657 005 004;75005;5 RUE SOUFFLOT;A;TERRASSE OUVERTE;1.8;12.0;SARL ROTISSERIE DU PANTHEON  (RESTAURANT);48.846494, 2.343755
7550;208 657 012 002;75005;12 RUE SOUFFLOT;A;TERRASSE FERMEE;2.5;6.5;SAS F C L C  (RESTAURATION RAPIDE - SNACK);48.84698, 2.343211
7551;208 657 012 002;75005;162 RUE SAINT JACQUES;B;TERRASSE FERMEE;0.8;3.61;SAS F C L C  (RESTAURATION RAPIDE - SNACK);48.846885, 2.34333
7556;208 845 086 002;75005;86 BOULEVARD SAINT GERMAIN;A;TERRASSE OUVERTE;2.6;3.0;SARL DELICE SAINT GERMAIN  (RESTAURATION RAPIDE - SNACK);48.851047, 2.345207
7567;208 934 001 002;75005;2 PLACE DU PETIT PONT;B;TERRASSE OUVERTE;1.0;9.92;M DEBEURE  (RESTAURANT);48.852866, 2.346534
7568;209 053 002 002;75005;2 PLACE SAINTE GENEVIEVE;A;TERRASSE FERMEE;1.3;7.95;SARL CHARLES WELLS  (RESTAURANT);48.846637, 2.347028
7569;209 616 002 002;75005;Pan coupé 2 RUE VALETTE / 1 RUE LANNEAU;A;TERRASSE OUVERTE;1.2;5.0;SARL LE PUB  (RESTAURANT);48.848046, 2.346983
7572;211 355 005 002;75006;1 RUE GREGOIRE DE TOURS;B;TERRASSE OUVERTE;1.0;1.65;SARL SOCIETE CINQ  (RESTAURANT);48.853651, 2.33805
7573;211 355 005 002;75006;1 RUE GREGOIRE DE TOURS;B;TERRASSE OUVERTE;0.7;3.45;SARL SOCIETE CINQ  (RESTAURANT);48.853651, 2.33805
7577;211 355 012 004;75006;12 RUE DE BUCI;A;CONTRE TERRASSE;1.2;4.2;SARL LE MOLIERE BUCI VENEZIA  (RESTAURANT);48.853902, 2.337269
7579;212 543 001 002;75006;1 RUE DANTON;A;TERRASSE FERMEE;0.8;1.27;SARL GRAINE SALEM ET FRERE  (RESTAURANT);48.852835, 2.342773
7580;212 543 001 002;75006;1 RUE DANTON;A;TERRASSE FERMEE;0.8;4.38;SARL GRAINE SALEM ET FRERE  (RESTAURANT);48.852835, 2.342773
7581;212 543 001 002;75006;11 PLACE SAINT ANDRE DES ARTS;B;CONTRE TERRASSE;3.75;18.5;SARL GRAINE SALEM ET FRERE  (RESTAURANT);48.8532, 2.342725
7582;212 543 001 002;75006;11 PLACE SAINT ANDRE DES ARTS;B;TERRASSE FERMEE;1.6;3.5;SARL GRAINE SALEM ET FRERE  (RESTAURANT);48.8532, 2.342725
7591;216 144 043 002;75006;43 RUE MAZARINE;A;TERRASSE OUVERTE;0.9;5.2;SAS CM2 LES CLOCHES (RESTAURANT);48.854059, 2.338312
7593;218 545 081 008;75006;81 RUE DE SEINE;A;CONTRE TERRASSE;0.6;11.8;SARL LCDC  (RESTAURANT);48.853307, 2.337079
7595;218 761 036 004;75006;19 RUE SEGUIER;B;TERRASSE OUVERTE;0.8;4.5;SARL LATIN SAINT ANDRE  (RESTAURANT);48.854004, 2.342003
7599;218 845 116 005;75006;116 BOULEVARD SAINT GERMAIN;A;TERRASSE OUVERTE;0.6;8.5;SNC BOUL MICH BAR  (BAR RESTAURANT);48.852081, 2.340976
7605;721 771 016 003;75018;16 PLACE DE LA CHAPELLE;A;TERRASSE OUVERTE;0.9;4.5;SARL LA BARAKA  (RESTAURATION RAPIDE - SNACK);48.884976, 2.360015
7607;721 772 032 002;75018;32 RUE DE LA CHAPELLE;A;TERRASSE OUVERTE;1.2;4.0;SARL SARL GB STOP BAR (RESTAURANT);48.892537, 2.359937
7609;721 772 086 003;75018;86 RUE DE LA CHAPELLE;A;ETALAGE;0.98;5.1;SARL CORAM  (RESTAURATION RAPIDE - SNACK);48.896593, 2.359705
7615;725 675 009 002;75018;9 RUE L OLIVE;A;TERRASSE OUVERTE;0.8;4.0;SARL LE MONDE DE LEA  (BAR RESTAURANT);48.890944, 2.361213
7617;725 675 011 002;75018;11 RUE L OLIVE;A;TERRASSE OUVERTE;2.0;9.53;SARL HARINI  (RESTAURATION RAPIDE - SNACK);48.891009, 2.361185
7618;726 067 038 002;75018;38 RUE MARX DORMOY;A;TERRASSE OUVERTE;1.0;4.6;MME LAGATI  (BAR RESTAURANT);48.887047, 2.359947
7621;726 067 072 002;75018;72 RUE MARX DORMOY;A;TERRASSE FERMEE;1.5;4.9;SARL MEVLANA  (RESTAURATION RAPIDE - SNACK);48.889391, 2.360099
7624;726 683 020 002;75018;1 RUE CHARLES LAUTH;B;TERRASSE OUVERTE;0.6;7.7;SARL RESTAURANT LE NEY  (BAR RESTAURANT);48.898878, 2.368193
7626;727 596 003 002;75018;Pan coupé  3 AVENUE DE LA PORTE D AUBERVILLIERS / 2 RUE GASTON DARBOUX;A;TERRASSE OUVERTE;3.5;10.8;SARL DRIF  (BAR RESTAURANT);
7627;729 332 056 004;75018;56 RUE DE TORCY;A;TERRASSE FERMEE;3.0;5.1;SARL ROYAL PANDA  	TIN TIN (RESTAURANT);48.891118, 2.360687
7630;730 495 036 003;75019;36 RUE D AUBERVILLIERS;A;TERRASSE OUVERTE;1.2;4.2;M DIARRA  (RESTAURANT);48.886073, 2.366433
7632;730 495 054 002;75019;54 RUE D'AUBERVILLIERS;A;TERRASSE OUVERTE;0.8;8.5;SARL ALGIA MATILDE  (RESTAURANT);48.887129, 2.367098
