;Unnamed: 0;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées;surface;libelle;nom
7157;1880;73 418 034 002;75002;64 RUE TIQUETONNE;B;TERRASSE OUVERTE;0.9;9.4;SNC CAFE ETIENNE MARCEL  (BRASSERIE);48.864838, 2.345512;8.46;BRASSERIE;SNC CAFE ETIENNE MARCEL  
7158;1896;78 073 097 005;75002;97 RUE REAUMUR;A;TERRASSE OUVERTE;1.3;2.2;SARL SEREF  (BRASSERIE);48.86762, 2.345632;2.86;BRASSERIE;SARL SEREF  
7159;1949;138 525 012 002;75004;12 BOULEVARD DE SEBASTOPOL;A;TERRASSE FERMEE;2.5;7.3;SARL ROYALE CHATELET  (BRASSERIE);48.859298, 2.348887;18.25;BRASSERIE;SARL ROYALE CHATELET  
7160;1969;139 764 010 002;75004;Pan coupé 6 RUE SAINT MARTIN / 10 AVENUE VICTORIA;B;TERRASSE FERMEE;2.8;3.65;MM CRETIN  (BRASSERIE);48.857193, 2.350235;10.22;BRASSERIE;MM CRETIN  
7161;1973;141 216 004 003;75004;Pan coupé 4 RUE DU BOURG TIBOURG / 43 RUE DU ROI DE SICILE;A;TERRASSE OUVERTE;5.4;2.2;SARL BDV  (BRASSERIE);48.85565, 2.360659;11.88;BRASSERIE;SARL BDV  
7162;1974;141 216 004 003;75004;4 RUE DU BOURG TIBOURG;A;TERRASSE OUVERTE;3.15;3.3;SARL BDV  (BRASSERIE);48.856771, 2.355822;10.395;BRASSERIE;SARL BDV  
7163;1975;141 216 004 003;75004;43 RUE DU ROI DE SICILE;B;TERRASSE OUVERTE;0.8;12.1;SARL BDV  (BRASSERIE);48.856312, 2.35808;9.68;BRASSERIE;SARL BDV  
7164;1984;144 063 036 003;75004;50 RUE FRANCOIS MIRON;B;TERRASSE OUVERTE;1.5;7.2;EURL BYSAN  (BRASSERIE);48.855513, 2.357559;10.8;BRASSERIE;EURL BYSAN  
7165;1989;148 229 006 002;75004;2 RUE MALHER;A;TERRASSE OUVERTE;0.7;11.25;SAS BENEVI LE DOME SAINT-PAUL (BRASSERIE);48.855367, 2.361258;7.875;BRASSERIE;SAS BENEVI LE DOME SAINT-PAUL 
7166;2005;697 727 106 002;75018;106 RUE DU POTEAU;A;TERRASSE OUVERTE;0.6;5.1;SARL AU PERE POTEAU  (BRASSERIE);48.897559, 2.337788;3.06;BRASSERIE;SARL AU PERE POTEAU  
